store_id,product_id,quantity
2,1,14
2,2,16
2,3,28
2,4,2
2,5,1
2,6,11
2,7,8
2,8,1
2,9,17
2,10,13
2,11,21
2,12,2
2,13,1
2,14,18
2,15,6
2,16,20
2,17,3
2,18,13
2,19,15
2,20,20
2,21,16
2,22,0
2,23,12
2,24,16
2,25,18
2,26,2
2,27,10
2,28,25
2,29,29
2,30,17
2,31,10
2,32,13
2,33,8
2,34,24
2,35,25
2,36,15
2,37,5
2,38,18
2,39,28
2,40,15
2,41,6
2,42,16
2,43,2
2,44,24
2,45,13
2,46,18
2,47,0
2,48,20
2,49,4
2,50,7
2,51,8
2,52,23
2,53,19
2,54,6
2,55,5
2,56,20
2,57,27
2,58,15
2,59,17
2,60,1
2,61,20
2,62,4
2,63,5
2,64,30
2,65,16
2,66,22
2,67,8
2,68,23
2,69,22
2,70,6
2,71,30
2,72,1
2,73,20
2,74,23
2,75,11
2,76,20
2,77,25
2,78,4
2,79,29
2,80,27
2,81,19
2,82,4
2,83,21
2,84,22
2,85,6
2,86,24
2,87,14
2,88,8
2,89,8
2,90,26
2,91,0
2,92,22
2,93,22
2,94,2
2,95,10
2,96,22
2,97,15
2,98,14
2,99,24
2,100,12
2,101,4
2,102,12
2,103,1
2,104,26
2,105,3
2,106,7
2,107,29
2,108,29
2,109,25
2,110,7
2,111,6
2,112,1
2,113,7
2,114,12
2,115,19
2,116,17
2,117,18
2,118,25
2,119,23
2,120,16
2,121,3
2,122,11
2,123,18
2,124,4
2,125,10
2,126,13
2,127,12
2,128,28
2,129,21
2,130,17
2,131,9
2,132,6
2,133,28
2,134,13
2,135,30
2,136,8
2,137,1
2,138,16
2,139,24
2,140,13
2,141,28
2,142,24
2,143,12
2,144,4
2,145,23
2,146,3
2,147,13
2,148,27
2,149,22
2,150,7
2,151,2
2,152,21
2,153,21
2,154,9
2,155,21
2,156,8
2,157,28
2,158,0
2,159,30
2,160,4
2,161,9
2,162,18
2,163,30
2,164,9
2,165,6
2,166,27
2,167,1
2,168,29
2,169,1
2,170,2
2,171,28
2,172,16
2,173,17
2,174,8
2,175,0
2,176,26
2,177,9
2,178,1
2,179,16
2,180,3
2,181,29
2,182,21
2,183,26
2,184,0
2,185,4
2,186,16
2,187,10
2,188,27
2,189,13
2,190,18
2,191,15
2,192,0
2,193,21
2,194,15
2,195,19
2,196,28
2,197,10
2,198,0
2,199,13
2,200,11
2,201,24
2,202,1
2,203,7
2,204,25
2,205,13
2,206,9
2,207,8
2,208,12
2,209,11
2,210,10
2,211,4
2,212,22
2,213,10
2,214,7
2,215,11
2,216,19
2,217,22
2,218,26
2,219,16
2,220,6
2,221,12
2,222,30
2,223,7
2,224,4
2,225,11
2,226,5
2,227,12
2,228,7
2,229,29
2,230,25
2,231,8
2,232,11
2,233,25
2,234,12
2,235,4
2,236,7
2,237,30
2,238,6
2,239,17
2,240,19
2,241,24
2,242,2
2,243,18
2,244,1
2,245,18
2,246,10
2,247,16
2,248,26
2,249,10
2,250,23
2,251,0
2,252,20
2,253,29
2,254,7
2,255,12
2,256,8
2,257,5
2,258,10
2,259,16
2,260,20
2,261,4
2,262,8
2,263,4
2,264,13
2,265,4
2,266,18
2,267,21
2,268,3
2,269,4
2,270,15
2,271,26
2,272,1
2,273,28
2,274,15
2,275,3
2,276,9
2,277,4
2,278,8
2,279,18
2,280,11
2,281,3
2,282,8
2,283,28
2,284,6
2,285,22
2,286,3
2,287,15
2,288,13
2,289,5
2,290,29
2,291,22
2,292,22
2,293,12
2,294,7
2,295,15
2,296,8
2,297,7
2,298,27
2,299,0
2,300,13
2,301,26
2,302,6
2,303,23
2,304,6
2,305,21
2,306,17
2,307,18
2,308,15
2,309,9
2,310,5
2,311,27
2,312,2
2,313,24
